"ID","FOOD_NAME","FOOD_IMG","FOOD_TYPE1","FOOD_TYPE2","FOOD_DETAIL","FOOD_PRICE"
6235,"삼육)검은콩호두아몬드병","f868ca1d-8d81-4d2c-a5d3-74881b80a25e.jpg","음료","1+1,두유,음료","호두, 아몬드, 잣, 땅콩 100% 견과페이스트를 사용한 제품 입니다.",1400
6236,"OKF)요구르트스파클링제로","8c6a5b59-3f2b-48af-ab9a-790965bdd540.jpg","음료","탄산음료,음료","요구르트 특유의 달콤한 맛에 탄산을 더한 500ml PET 탄산음료",2200
6237,"코카)미닛포도P350ml","4a1c7f5a-d706-4b8d-b7a0-615e7e572cf6.jpg","음료","과즙음료,음료","과즙음료 1위 브랜드 미닛메이드가 만든 포도주스",1950
6238,"해태)갈아만든배P500ml","4b77fcf8-63f1-4b38-a615-888ee4b8d379.jpg","음료","2+1,음료,과즙음료","RETRO열풍을 타고 꾸준히 사랑받는 추억 음료 갈배",2100
6239,"정식품)검은콩고칼슘병","526b0074-ecfe-4bfd-a646-9f4b01880267.jpg","음료","두유,건강음료","고칼슘을 함유한 프리미엄 검은콩 두유 1) 뼈 건강은 기본 고칼슘 210mg (1일 영양성분 기준치 30%) 2) 비타민D 풍부 (1일 영양성분 기준치 30%)",1500
6240,"동원)청미채그린200ml","09aadb42-265c-4ad3-a348-e4187135a23d.jpg","음료","냉장주스,과일야채음료","20가지 이상의 과일과 야채가 함유된 마시는 샐러드 주스, 장에 좋은 프리바이오틱스 주스",1200
6241,"동원)청미채옐로우200ml","3a63abd6-e391-4e03-955e-3b4559830bda.jpg","음료","냉장주스,과일야채음료","20가지 이상의 과일과 야채가 함유된 마시는 샐러드 주스, 장에 좋은 프리바이오틱스 주스",1200
6242,"빙그레)쥬시쿨청포에이드","f7adc103-389b-4695-bdc6-c1380a9285e1.jpg","음료","2+1,냉장주스,음료","상큼하고 새콤한 청포도의 맛을 즐길 수 있는 에이드. 인기 과일맛 음료인 쥬시쿨의 에이드 버전 세번째 시리즈로 과일 농축액과 식이섬유가 함유된 음료.",1700
6243,"코카)씨그램애플P350ml","8bc5625b-3877-43c8-a770-0b8373098c57.jpg","음료","탄산수,생수","싱그러운 천연 사과향을 넣어 이전에 맛볼 수 없었던 상쾌함 가득 New flavor 탄생",1500
6244,"와일드베리)링곤베리350ml","044aa476-06e8-4da6-84f6-d512c88dab00.jpg","음료","과즙음료,음료","[CU 단독]몽골 야생 열매인 링곤베리로 만든 몽골 현지 주스",1500
6245,"롯)아이시스에코500ml*20","39838eaf-7cb4-4833-a8a3-789477523884.jpg","음료","국산생수,생수","라벨 플라스틱 사용량은 줄이고 재활용 효율을 높인 스마트한 친환경 생수",18000
6246,"빙그레)올데이아메리카노","975c1e04-1f34-4593-84c7-0a8dd45a1a6d.jpg","음료","1+1,커피음료,음료","- 넉넉한 1L 용량으로 하루 종일 편안하고 여유롭게 즐기는 아카페라 올데이 - 설탕무첨가로 깔끔하고 부드러운 아메리카노 항료 - 회사 사무실 책상에서 또는 집에서 두고 나누어 마실 수 있는 보관이 용이한 커피",4200
6247,"빙그레)올데이헤이즐넛1L","2d2bd633-44e7-4529-8ca4-057ca9931d46.jpg","음료","1+1,커피음료,음료","- 넉넉한 1L 용량으로 하루 종일 편안하고 여유롭게 즐기는 아카페라 올데이 - 헤이즐넛 풍미를 더한 헤이즐넛 아메리카노 - 회사 사무실 책상에서 또는 집에서 두고 나누어 마실 수 있는 보관이 용이한 커피",4200
6248,"롯데)델몬트오렌지P400ml","35715168-61dd-48ac-9396-9bc475ee2b14.jpg","음료","과즙음료,음료","남녀노소 즐길 수 있는 소용량 델몬트 주스",2200
6249,"롯데)델몬트포도400ml","c429c411-6094-4b0d-857f-5c5e1f960aaa.jpg","음료","과즙음료,음료","남녀노소 즐길 수 있는 델몬트소용량 주스",2200
6250,"오비)카스제로캔355ml","182a9f73-33df-4088-9e88-5a5bb92bd541.jpg","음료","탄산음료,음료","",2000
6251,"롯데)펩시제로라임P500ml","41303a08-85dd-4d0b-9663-7748c65df72e.png","음료","1+1,탄산음료,음료","짜릿함은 플러스, 슈거는 제로 타협하지 않은 펩시의 상쾌한 맛. 칼로리 걱정 없이 언제 어디서나 함께",2300
6252,"마시는식사비건카카오","cc29c68e-4489-49b9-a5ea-d55ac9314d22.jpg","음료","건강음료,음료","- 고단백 (8g) / 고식이섬유(9g) 상품 - 비건 인증, 저당 (LOW SUGAR) 상품 (한국비건인증원 인증) /단백질, 식이섬유, 해조칼슘, 비타민E가 포함된 컴팩트 상품 - 식물성 단백질을 사용하여 유당불내증 없이 느낄 수 있는 포만감",2200
6253,"마시는식사비건그레인","fea3fe43-947b-489c-85f0-23e2872bc1ec.jpg","음료","건강음료,음료","- 고단백 (7g) / 고식이섬유(10g) 상품 - 비건 인증, 저당 (LOW SUGAR) 상품 (한국비건인증원 인증) /단백질, 식이섬유, 해조칼슘, 비타민E가 포함된 컴팩트 상품 - 식물성 단백질을 사용하여 유당불내증 없이 느낄 수 있는 포만감",2200
6254,"롯데)칠성사이다제로P500","ac39746f-eeba-4b6e-b76b-5307b49e548d.jpg","음료","2+1,탄산음료,음료","단 한톨의 설탕도 들어있지 않은 ZERO 탄산음료, 기존 ZERO 탄산음료와 다른 깔끔한 뒷맛 -신규 레몬라임향 함유로 오리지날 맛 구현",2300
6255,"롯데)칠성사이다제로P1.5","1f8c601e-07c6-42c7-95ab-7afcb2fd8c4a.jpg","음료","탄산음료,음료","단 한톨의 설탕도 들어있지 않은 ZERO 탄산음료, 기존 ZERO 탄산음료와 다른 깔끔한 뒷맛-신규 레몬라임향 함유로 오리지날 맛 구현",3900
6256,"코카)환타파인애플캔250","a91f0f71-8a4d-4f3c-bad5-e1e9ca304fd7.jpg","음료","탄산음료,음료","코카콜라 세계 1위 과즙 향탄산 브랜드 환타 파인애플 (파인애플 탄산 시장점유율 45.2%)",1400
6257,"풀무원)잇츠프로틴초코","47edc5a4-3f0f-42bc-bae1-11479baa0574.jpg","음료","건강음료,음료","고단백(단백질15g), 고칼슘(400mg), 엄선한 원료로 깊고 진한 코코아 풍미의 매일 마시는 맛있는 프로틴",2500
6258,"웅진)자연은납작복숭아340","ccfdd0d3-7dd7-47e8-926e-eae6e4b616e1.jpg","음료","음료,과즙음료","1. 유럽에서만 볼수 있던 납작복숭아 소재를 사용하여 더욱더 달콤한 맛을 선사 2. 자연에서 80일동안 잘 자란 프리미엄 과일인 납작복숭아를 사용",1600
6259,"del)벤티컵얼음400g","0e3be59c-bf8e-4105-9167-147a64419e79.jpg","음료","얼음,아이스드링크","[CU 단독]‘가용비(가격 대비 용량)’를 중시하는 추세에 걸맞는 대용량 커피음료에 맞춘 컵아이스",1300
6260,"광동)흑미차500ml","ae205de8-09a6-4755-b335-9e8415e13213.jpg","음료","차음료,음료","진도산 흑미로 로스팅한 흑미를 추출하여 쌀의 구수함이 살아있고 깔끔한 맛으로 새로운 풍미",2000
6261,"매일)바리스타아메P475ml","adcc9737-4b5d-4197-b3bf-cef1c3ba86f9.jpg","음료","2+1,음료,커피음료","1. 최고등급(1stgrade) 원두를 사용하여 풍부한 맛의 특색을 살린 커피 2. 단일 산지인 싱글 오리진 원두를 통한 특별한 커피맛 3. 바리스타룰스가 원칙을 지켜 만든 맛있는 커피 4. 하루 종일 즐길 수 있는 475ml 대용량 PET 커피",2700
6262,"매일)바리스타라떼P475ml","5c0c02eb-c6ff-4c1f-b116-a7f37c004a25.jpg","음료","2+1,음료,커피음료","1. 최고등급(1stgrade) 원두를 사용하여 풍부한 맛의 특색을 살린 커피 2. 단일 산지인 싱글 오리진 원두를 통한 특별한 커피맛 3. 바리스타룰스가 원칙을 지켜 만든 맛있는 커피 4. 하루 종일 즐길 수 있는 475ml 대용량 PET 커피",2700
6263,"코카)스프라이트제로캔355","0b46ed29-e627-49cd-9ede-a44a9d775d6e.jpg","음료","1+1,음료,탄산음료","제로칼로리 스프라이트",1700
6264,"조지아)블랙아이스230ml","77a18af8-2e5c-4b1f-8830-5e046f1d2daa.jpg","음료","아이스드링크","세계 1위 RTD 커피 브랜드 ""조지아""의 아이스 블랙 커피",1200
6265,"메이크비)빡!텐션쇼크캔","326201b5-f3ed-4df8-9915-2acacf6b47db.jpg","음료","음료,에너지음료","[CU 단독]빠른 체내 흡수와 에너지가 충전을 돕는 적정한 이온농도로 설계된 기능성 음료",2000
6266,"delaffe청포도아이스","43f2fecf-82c1-44f4-8576-7184f4982637.jpg","음료","아이스크림,아이스컵,델라페","여름철 다양한 음료와 믹스가 가능한 delaffe청포도아이스 재출시",1200
6267,"동서)레드불화이트250ml","a9714b96-3a95-467b-98d1-73f37892f058.jpg","음료","에너지음료,기능건강음료","상쾌한 바람을 연상시키는 맛으로 상큼한 White Peach(백도)향을 첨가하여 가볍게 즐길 수 있는 에너지드링크",2200
6268,"정식품)귀리두유팩","3029b2d6-bbeb-482f-a22c-f223076c8a70.jpg","음료","두유,기능건강음료","몸에 좋은 귀리가 씹혀 식사대용으로 추천하는 귀리두유",1400
6269,"광동)비타500D병100ml","6185641d-a48b-4f8a-9f6a-976d2d5df969.jpg","음료","2+1,건강음료,음료","1)비타민D 1,000IU 함유 2)비타500과 동일한 비타민C 함유 (500mg) 3)정상적인 면역기능에 필요한 아연 3mg 함유",1000
6270,"하이)하이네켄논알콜캔330","731d9e33-a5cb-4db5-9501-f95c0cfc29cc.jpg","음료","탄산음료,음료","1. A-Yeast로 두 번 양조하고 발효시켜 자연적으로 알콜을 제거한 하이네켄 최초의 논알콜 맥주 2. 부담없이 즐길 수 있는 저칼로리 (69Kcal) 논알콜 맥주 3. 하이네켄 오리지널과 동일한 맥주공정을 거쳐 프리미엄 맥주에서 느낄 수 있는 몰트를 풍부하게 표현한 논알콜 맥주",3500
6271,"롯데)콘트라베이스900ml","6b935919-2691-4ac9-865c-756dd9e60b82.jpg","음료","캔/병커피,커피음료","대용량 트렌드에 맞춘 칸타타 대용량 커피. 기존 500ml 커피보다 더 크게, 오랫동안 즐길 수 있는 대용량 커피.",4000
6272,"모구)요거트젤리P320ml","aa4b5db7-eaab-4db9-bf46-b35372739600.jpg","음료","2+1,과즙음료,음료","① 구매욕을 부르는 귀여운 모구모구 캐릭터 전용 상품 ② 모구모구는 일본어로 우물우물이라는 뜻으로 나타데코코가 한가득 들어 있어 씹는 즐거움을 제공",1700
6273,"빙그레)따옴애플망고235ml","f018122b-1ca9-4858-9e3f-483b0b1b824d.jpg","음료","냉장주스,음료","애플망고와 패션프루트가 최상의 레시피로 블렌딩된 상큼달콤한 맛의 따옴 신제품. 설탕, 합성 첨가물을 넣지 않고 천연 과일의 맛을 살린 100% 과채주스. 환경을 생각하는 에코라벨로, 재활용을 위한 라벨 분리가 쉬운 재활용 우수 등급 상품.",2400
6274,"링티)제로복숭아P500ml","c267472d-4c7c-4c38-9160-40d0da227ca9.jpg","음료","1+1,스포츠/이온음료,음료","1. 매일 물처럼 마실 수 있는 0 kcal의 LIFE DRINK 2. 복숭아의 껍질과 싱그런 과육까지 느껴지는 천연 복숭아향 사용 3. 천연 감미료 에리스리톨, 스테비아 사용 4. 비타민 A, B3, B5, B6, B12, C, 아연, 마그네슘, BCAA 함유",2900
6275,"하이)하이네켄논알콜캔500","f2e1d7a6-924a-4d54-b58b-bf66be13baef.jpg","음료","음료,탄산음료","1. A-Yeast로 두 번 양조하고 발효시켜 자연적으로 알콜을 제거한 하이네켄 최초의 논알콜 맥주 2. 부담없이 즐길 수 있는 저칼로리 (69Kcal) 논알콜 맥주 3. 하이네켄 오리지널과 동일한 맥주공정을 거쳐 프리미엄 맥주에서 느낄 수 있는 몰트를 풍부하게 표현한 논알콜 맥주",4500
6276,"이디야)퓨레어레몬500ml","6734bc6c-8857-48e0-ad9b-31f9e1db2341.jpg","음료","탄산수,생수","‘이디야’에서 찾은 과일 천연 그대로의 맛과 강한 탄산압의 완벽한 황금비율, 탄산수와 천연 과일향 그대로의 맛 / 기분좋은 깔끔함 강조",1700
6277,"이디야)퓨레어자몽500ml","39561e1c-b444-4255-b948-32112aabf044.jpg","음료","탄산수,생수","‘이디야’에서 찾은 과일 천연 그대로의 맛과 강한 탄산압의 완벽한 황금비율, 탄산수와 천연 과일향 그대로의 맛 / 기분좋은 깔끔함 강조",1700
6278,"코카)스프라이트제로P500","20971ec3-fcb1-4402-8736-05f937898608.jpg","음료","1+1,탄산음료,음료","언제 어디서나 간편하게 즐기는 스프라이트 제로",2000
